Model,Dataset,Dataset_Type,Fold,AUC,Best_C,Best_n_features,Best_tau,Best_B
PinFSSVM,sonar,both,10,0.6041666666666667,4.0,,0.1,7.0
PinFSSVM,ionosphere,outlier,1,0.7941176470588236,2.0,,0.1,12.0
PinFSSVM,ionosphere,outlier,2,0.8690476190476191,2.0,,0.1,12.0
PinFSSVM,ionosphere,outlier,3,0.8333333333333334,2.0,,0.1,12.0
PinFSSVM,ionosphere,outlier,4,0.6759868421052632,2.0,,0.1,12.0
PinFSSVM,ionosphere,outlier,5,0.738095238095238,2.0,,0.1,12.0
PinFSSVM,ionosphere,outlier,6,0.76,2.0,,0.1,12.0
PinFSSVM,ionosphere,outlier,7,0.8235294117647058,2.0,,0.1,12.0
PinFSSVM,ionosphere,outlier,8,0.8823529411764706,2.0,,0.1,12.0
PinFSSVM,ionosphere,outlier,9,0.8181818181818181,2.0,,0.1,12.0
PinFSSVM,ionosphere,outlier,10,0.8532608695652174,2.0,,0.1,12.0
PinFSSVM,ionosphere,original,1,0.8666666666666667,2.0,,0.1,12.0
PinFSSVM,ionosphere,original,2,0.8461538461538461,2.0,,0.1,12.0
PinFSSVM,ionosphere,original,3,0.9337121212121212,2.0,,0.1,12.0
PinFSSVM,ionosphere,original,4,0.75,2.0,,0.1,12.0
PinFSSVM,ionosphere,original,5,0.8115942028985508,2.0,,0.1,12.0
PinFSSVM,ionosphere,original,6,0.7948717948717949,2.0,,0.1,12.0
PinFSSVM,ionosphere,original,7,0.875,2.0,,0.1,12.0
PinFSSVM,ionosphere,original,8,0.9642857142857143,2.0,,0.1,12.0
PinFSSVM,ionosphere,original,9,0.8181818181818181,2.0,,0.1,12.0
PinFSSVM,ionosphere,original,10,0.8882575757575758,2.0,,0.1,12.0
PinFSSVM,ionosphere,noise,1,0.78125,1.0,,0.1,14.0
PinFSSVM,ionosphere,noise,2,0.7083333333333333,1.0,,0.1,14.0
PinFSSVM,ionosphere,noise,3,0.8219696969696969,1.0,,0.1,14.0
PinFSSVM,ionosphere,noise,4,0.6785714285714286,1.0,,0.1,14.0
PinFSSVM,ionosphere,noise,5,0.7556818181818181,1.0,,0.1,14.0
PinFSSVM,ionosphere,noise,6,0.76,1.0,,0.1,14.0
PinFSSVM,ionosphere,noise,7,0.875,1.0,,0.1,14.0
PinFSSVM,ionosphere,noise,8,1.0,1.0,,0.1,14.0
PinFSSVM,ionosphere,noise,9,0.8532608695652174,1.0,,0.1,14.0
PinFSSVM,ionosphere,noise,10,0.7898550724637682,1.0,,0.1,14.0
PinFSSVM,ionosphere,both,1,0.775,0.5,,0.1,2.0
PinFSSVM,ionosphere,both,2,0.784965034965035,0.5,,0.1,2.0
PinFSSVM,ionosphere,both,3,0.75,0.5,,0.1,2.0
PinFSSVM,ionosphere,both,4,0.6083333333333334,0.5,,0.1,2.0
PinFSSVM,ionosphere,both,5,0.6661184210526316,0.5,,0.1,2.0
PinFSSVM,ionosphere,both,6,0.71,0.5,,0.1,2.0
PinFSSVM,ionosphere,both,7,0.725,0.5,,0.1,2.0
PinFSSVM,ionosphere,both,8,0.9333333333333333,0.5,,0.1,2.0
PinFSSVM,ionosphere,both,9,0.6799999999999999,0.5,,0.1,2.0
PinFSSVM,ionosphere,both,10,0.8214285714285714,0.5,,0.1,2.0
PinFSSVM,diabetes,outlier,1,0.7556360708534622,0.5,,0.1,4.0
PinFSSVM,diabetes,outlier,2,0.7371794871794872,0.5,,0.1,4.0
PinFSSVM,diabetes,outlier,3,0.6495614035087719,0.5,,0.1,4.0
PinFSSVM,diabetes,outlier,4,0.7757692307692308,0.5,,0.1,4.0
PinFSSVM,diabetes,outlier,5,0.8342749529190208,0.5,,0.1,4.0
PinFSSVM,diabetes,outlier,6,0.6631205673758864,0.5,,0.1,4.0
PinFSSVM,diabetes,outlier,7,0.7163120567375886,0.5,,0.1,4.0
PinFSSVM,diabetes,outlier,8,0.6753846153846154,0.5,,0.1,4.0
